Near North,Contemporary,0,0.315464877
Near North,Burgers,1,0.897800116
Near North,Japanese,0,0.355370764
Near North,Seafood,-1,-1
Near North,Steaks,-1,-1
Near North,Sushi,0.5,0.398994176
Near North,Thai,0.630929754,0.574604304
Near North,French,0.5,0.427262519
Gold Coast,Contemporary,1,0.697038676
Gold Coast,Burgers,-1,-1
Gold Coast,Japanese,-1,-1
Gold Coast,Seafood,-1,-1
Gold Coast,Steaks,0.820157015,0.74039788
Gold Coast,Sushi,-1,-1
Gold Coast,Thai,-1,-1
Gold Coast,French,1,0.671194208
Lincoln Park,Contemporary,0.899344478,0.732998266
Lincoln Park,Burgers,1,0.854098304
Lincoln Park,Japanese,0.430676558,0.379471366
Lincoln Park,Seafood,-1,-1
Lincoln Park,Steaks,-1,-1
Lincoln Park,Sushi,0,0.386852807
Lincoln Park,Thai,-1,-1
Lincoln Park,French,0.700356083,0.700356083
Magnificent Mile,Contemporary,1,0.976207358
Magnificent Mile,Burgers,1,0.540422243
Magnificent Mile,Japanese,-1,-1
Magnificent Mile,Seafood,0.764705882,0.676289262
Magnificent Mile,Steaks,0.785714286,0.785714286
Magnificent Mile,Sushi,-1,-1
Magnificent Mile,Thai,-1,-1
Magnificent Mile,French,0.960295398,0.960295398
Near North Side,Contemporary,0,0.315464877
Near North Side,Burgers,1,0.754741123
Near North Side,Japanese,1,1
Near North Side,Seafood,0.893998296,0.728505038
Near North Side,Steaks,0.829202967,0.816380381
Near North Side,Sushi,0.59159271,0.59159271
Near North Side,Thai,-1,-1
Near North Side,French,0.794960974,0.65327497
Old Town,Contemporary,1,1
Old Town,Burgers,-1,-1
Old Town,Japanese,1,1
Old Town,Seafood,-1,-1
Old Town,Steaks,-1,-1
Old Town,Sushi,0.751918277,0.751918277
Old Town,Thai,-1,-1
Old Town,French,-1,-1
River North,Contemporary,0.696360831,0.675291886
River North,Burgers,1,0.928467465
River North,Japanese,0.806548728,0.758268073
River North,Seafood,0.940072359,0.931482472
River North,Steaks,0.980447724,0.814454707
River North,Sushi,0.484287749,0.520679788
